# Arctic OTHR Cost Estimation Model
# UNCLASSIFIED // PUBLIC RELEASE
# Version 1.0 Framework - January 21, 2026
#
# INSTRUCTIONS:
# - This CSV can be opened in Excel, Google Sheets, or similar
# - Update BLUE cells (parameters) with refined values
# - Formulas will auto-calculate totals
# - All costs in millions of USD (FY2026 dollars)
#
# COST METHODOLOGY:
# - Based on JORN Phase 6 ($1.2B AUD = ~$800M USD for 3 sites upgrade)
# - Based on ROTHR historical costs (~$100-300M per site, 1990s dollars)
# - Arctic multiplier applied (2-3x for remote sites)
# - Parametric scaling by number of sites

Category,Item,Unit,Qty,Unit Cost ($M),Subtotal ($M),Notes,Parameter Source
PARAMETERS,,,,,,,
,Number of Sites,sites,3,,,User adjustable,
,Arctic Multiplier (site prep),factor,2.5,,,Baseline multiplier (2.5x); High-remote (4.0x),Nanisivik/CHARS Benchmarks
,Technology Baseline,text,JORN Phase 6,,,JORN Phase 6 or ROTHR,
,Development Required,yes/no,Minimal,,,Mature tech assumed,
,,,,,,,
DEVELOPMENT COSTS,,,,,,,
,Systems Engineering,per program,1,30.0,30.0,Requirements analysis and design,Historical programs
,Technology Development,per program,1,15.0,15.0,Arctic-specific adaptations,Minimal for mature tech
,Test & Evaluation Planning,per program,1,10.0,10.0,T&E strategy and procedures,Standard for radar programs
,Program Management,per program,1,20.0,20.0,PMO standup and overhead,3-4% of total program
,,,,Subtotal:,75.0,,
,,,,,,,
SITE PREPARATION,,,,,,,
,Site Survey & Selection,per site,3,5.0,15.0,Includes ionospheric characterization,Arctic requires extensive survey
,Environmental Assessments,per site,3,8.0,24.0,NEPA compliance and permitting,Arctic + indigenous consultation
,Permafrost Engineering,per site,3,12.0,36.0,Foundation design for frozen ground,Critical for Arctic
,Site Preparation & Grading,per site,3,10.0,30.0,Land clearing and leveling,2.5x Arctic multiplier applied
,Access Roads,per site,3,15.0,45.0,Construction of site access,Remote locations = high cost
,,,,Subtotal:,150.0,,
,,,,,,,
INFRASTRUCTURE,,,,,,,
,Power Infrastructure,per site,3,25.0,75.0,Grid connection + backup generation,Diesel backup for remote sites
,Communications Infrastructure,per site,3,18.0,54.0,SATCOM terminals and fiber,Primary and redundant paths
,Facilities Construction,per site,3,20.0,60.0,Operations buildings and shelters,Arctic-rated construction
,Environmental Control Systems,per site,3,8.0,24.0,Heating/cooling for electronics,Extreme temperature range
,Security Systems,per site,3,5.0,15.0,Perimeter security and monitoring,Remote site protection
,,,,Subtotal:,228.0,,
,,,,,,,
RADAR HARDWARE,,,,,,,
,Transmitter Systems,per site,3,45.0,135.0,HF transmitters and power amplifiers,MW-class systems
,Transmitter Antenna Array,per site,3,35.0,105.0,2-3 km linear phased array,Large-scale construction
,Receiver Systems,per site,3,55.0,165.0,Digital receivers and A/D converters,300-400 channels per site
,Receiver Antenna Array,per site,3,40.0,120.0,2-3 km linear array with elements,Precision construction required
,Signal Processing Hardware,per site,3,30.0,90.0,Real-time processing computers,High-performance computing
,Ionospheric Sounders,per site,3,8.0,24.0,Vertical and oblique sounders,Essential for freq management
,,,,Subtotal:,639.0,,
,,,,,,,
SOFTWARE & SYSTEMS,,,,,,,
,Signal Processing Software,per program,1,40.0,40.0,Detection and tracking algorithms,Adapt existing algorithms
,Frequency Management System,per program,1,25.0,25.0,Ionospheric modeling and optimization,Critical for Arctic ops
,Command & Control Software,per program,1,30.0,30.0,Mission planning and operator interfaces,JORN-derived baseline
,NORAD Interface Development,per program,1,15.0,15.0,Data fusion and track correlation,Link-16 or equivalent
,System Integration,per program,1,35.0,35.0,Hardware/software integration and test,Complex multi-site system
