# Arctic OTHR Program Schedule Model
# UNCLASSIFIED // PUBLIC RELEASE
# Version 1.0 Framework - January 21, 2026
#
# SCHEDULE METHODOLOGY:
# - Based on JORN timeline (1986 decision → 2003 operational = 17 years with delays)
# - Based on ROTHR timeline (~4 years but leveraged existing OTH-B)
# - Assumes mature technology (JORN Phase 6 baseline)
# - Arctic construction constraints (6-month construction season)
# - Environmental review timelines (2-3 years typical)
#
# CRITICAL PATH ITEMS MARKED WITH (*)

Phase,Task,Duration (months),Start Month,End Month,Dependencies,Critical Path,Notes
PHASE 0: PROGRAM INITIATION,,,,,,,
,Congressional Authorization,6,0,6,None,*,Funding approval and program charter
,Program Office Standup,3,3,6,Congressional Auth,,PMO establishment and staffing
,Acquisition Strategy,4,6,10,Program Office,*,Contract approach and sourcing strategy
,,,,,,,
PHASE 1: CONCEPT DEVELOPMENT,,,,,,,
,Mission Analysis,6,6,12,None,*,NORAD requirements and threat analysis
,Concept of Operations,6,8,14,Mission Analysis,*,Operational concept definition
,System Requirements,8,10,18,Mission Analysis,*,Technical requirements document
,Technology Assessment,6,10,16,None,,Evaluate JORN vs ROTHR baseline
,Trade Studies,6,14,20,CONOPS + Requirements,*,Architecture and site count trades
,Preliminary Design,8,18,26,Requirements,*,System architecture and interfaces
,,,,,,,
PHASE 2: SITE SELECTION & ENVIRONMENTAL,,,,,,,
,Site Survey Planning,3,20,23,Preliminary Design,*,Identify candidate sites
,Ionospheric Characterization,12,23,35,Site Survey,*,Site-specific propagation analysis
,Geotechnical Surveys,9,23,32,Site Survey,*,Permafrost and foundation studies
,Environmental Impact Statement,24,26,50,Site Selection,*,NEPA compliance (longest item)
,Indigenous Consultations,18,26,44,Site Selection,*,Tribal consultations and agreements
,Land Acquisition / Agreements,12,38,50,EIS + Consultations,*,Secure site access and rights
,Site Selection Decision,1,50,51,All site studies,*,Final site approval milestone
,,,,,,,
PHASE 3: DETAILED DESIGN,,,,,,,
,Detailed System Design,12,26,38,Preliminary Design,*,Engineering drawings and specs
,Subsystem Design (TX),8,32,40,Detailed Design,,Transmitter detailed design
,Subsystem Design (RX),8,32,40,Detailed Design,,Receiver detailed design
,Software Architecture,10,32,42,Detailed Design,*,Signal processing and C2 software
,Interface Control Documents,6,36,42,Detailed Design,*,Define all system interfaces
,Design Review,2,40,42,All detailed design,*,Critical Design Review (CDR)
,,,,,,,
PHASE 4: PROCUREMENT,,,,,,,
,Long-Lead Item Procurement,18,42,60,CDR,*,Antenna components HF amplifiers
,Transmitter Systems,14,48,62,Long-lead items,,Fabrication and test
,Receiver Systems,14,48,62,Long-lead items,,Fabrication and test
,Signal Processing Hardware,10,50,60,Long-lead items,,Commercial servers and processors
,Software Development,24,42,66,Software Arch,*,Algorithm development and coding
,OCC Equipment,12,48,60,Long-lead items,,Displays consoles and infrastructure
,,,,,,,
PHASE 5: SITE CONSTRUCTION,,,,,,,
,Site 1 - Mobilization,3,51,54,Land acquisition,*,Move equipment to remote site
,Site 1 - Site Prep,6,54,60,Mobilization,*,Foundation and grading (summer only)
,Site 1 - Infrastructure,9,60,69,Site Prep,*,Power comms and buildings
,Site 1 - TX Installation,6,69,75,Infrastructure + TX systems,*,Transmitter array and electronics
